node_count,bdd_depth,node_reduction,chance_wrong_output,chance_false_true_output,truth_ratio,levels,time,method
2413,60,5.72,27.79,28.97,68.15,1,0.52,ROUNDING_DOWN
33,11,9.09,19.04,50.0,19.04,1,0.0,ROUNDING_DOWN
178,19,28.09,49.62,60.42,32.5,3,0.02,ROUNDING_DOWN
160,18,99.38,28.61,28.61,71.39,2,0.0,ROUNDING_DOWN
653,33,25.57,74.39,75.04,24.74,3,0.16,ROUNDING_DOWN
2642,63,99.96,6.43,6.43,93.57,3,0.02,ROUNDING_DOWN
4003,76,7.99,59.83,62.99,35.16,3,2.04,ROUNDING_DOWN
214,21,11.21,23.94,27.38,63.48,1,0.01,ROUNDING_DOWN
2771,64,5.7,28.12,30.77,63.27,2,0.69,ROUNDING_DOWN
1130,43,99.91,33.3,33.3,66.7,2,0.01,ROUNDING_DOWN
212,20,99.53,53.72,53.72,46.28,2,0.0,ROUNDING_DOWN
300,23,99.67,40.13,40.13,59.87,2,0.0,ROUNDING_DOWN
4550,81,99.98,39.17,39.17,60.83,3,0.03,ROUNDING_DOWN
7096,100,99.99,23.78,23.78,76.22,3,0.05,ROUNDING_DOWN
200,20,15.5,63.25,83.09,12.87,3,0.01,ROUNDING_DOWN
5583,89,99.98,21.64,21.64,78.36,3,0.05,ROUNDING_DOWN
230,21,4.78,21.43,75.0,7.14,2,0.01,ROUNDING_DOWN
5750,90,99.98,38.93,38.93,61.07,3,0.04,ROUNDING_DOWN
5042,85,99.98,22.04,22.04,77.96,2,0.04,ROUNDING_DOWN
2427,60,8.49,59.42,64.4,32.85,3,0.84,ROUNDING_DOWN
6178,93,6.7,43.6,44.21,55.03,2,3.99,ROUNDING_DOWN
3863,76,99.97,2.91,2.91,97.09,1,0.03,ROUNDING_DOWN
2385,60,9.77,47.08,48.15,50.7,2,0.84,ROUNDING_DOWN
3629,72,5.15,48.26,52.91,42.95,2,1.04,ROUNDING_DOWN
312,24,8.33,18.89,23.26,62.33,1,0.02,ROUNDING_DOWN
2835,65,1.76,28.53,41.08,40.93,1,0.28,ROUNDING_DOWN
2773,64,1.77,31.26,45.26,37.81,1,0.25,ROUNDING_DOWN
5703,90,2.26,50.8,81.3,11.69,3,1.25,ROUNDING_DOWN
6047,93,5.01,9.67,9.76,89.46,1,2.7,ROUNDING_DOWN
1529,49,3.66,43.73,73.45,15.81,2,0.16,ROUNDING_DOWN
287,24,6.97,28.9,66.36,14.65,2,0.02,ROUNDING_DOWN
1890,54,0.42,12.63,50.0,12.63,1,0.06,ROUNDING_DOWN
2894,66,99.97,11.47,11.47,88.53,3,0.04,ROUNDING_DOWN
1795,52,15.38,52.05,53.03,46.1,3,0.71,ROUNDING_DOWN
5349,87,2.97,51.36,62.89,30.3,2,1.35,ROUNDING_DOWN
139,18,4.32,9.24,47.88,10.06,1,0.01,ROUNDING_DOWN
150,18,16.67,27.45,51.19,26.18,2,0.01,ROUNDING_DOWN
1760,52,99.94,16.82,16.82,83.18,3,0.01,ROUNDING_DOWN
849,38,99.88,12.92,12.92,87.08,3,0.01,ROUNDING_DOWN
1694,51,5.08,41.01,54.14,34.74,2,0.25,ROUNDING_DOWN
814,37,3.69,21.57,67.44,10.41,2,0.06,ROUNDING_DOWN
1243,44,17.38,40.24,40.75,58.52,2,0.39,ROUNDING_DOWN
3279,70,1.52,25.22,42.99,33.44,1,0.31,ROUNDING_DOWN
5455,89,2.36,58.19,84.01,11.08,3,1.27,ROUNDING_DOWN
613,32,99.84,40.6,40.6,59.4,3,0.01,ROUNDING_DOWN
2870,65,6.9,26.6,27.76,69.22,2,0.95,ROUNDING_DOWN
1952,55,99.95,10.83,10.83,89.17,3,0.01,ROUNDING_DOWN
1032,41,99.9,23.06,23.06,76.94,2,0.01,ROUNDING_DOWN
