node_count,bdd_depth,node_reduction,chance_wrong_output,chance_false_true_output,truth_ratio,levels,time,method
391,27,99.74,9.79,9.79,90.21,1,0.0,ROUNDING_DOWN
235,21,99.57,32.42,32.42,67.58,2,0.0,ROUNDING_DOWN
212,21,99.53,19.89,19.89,80.11,3,0.0,ROUNDING_DOWN
2381,60,4.83,62.5,81.29,14.39,3,0.48,ROUNDING_DOWN
2188,58,1.01,15.54,42.75,20.81,1,0.13,ROUNDING_DOWN
4949,84,5.46,65.32,70.51,27.32,3,2.12,ROUNDING_DOWN
704,35,5.82,13.24,14.71,76.76,1,0.06,ROUNDING_DOWN
3051,67,99.97,22.51,22.51,77.49,2,0.02,ROUNDING_DOWN
6842,98,2.34,19.7,21.54,71.75,1,1.69,ROUNDING_DOWN
236,21,99.58,33.91,33.91,66.09,2,0.0,ROUNDING_DOWN
1548,49,3.1,18.66,24.4,57.8,1,0.14,ROUNDING_DOWN
5302,88,99.98,5.82,5.82,94.18,3,0.04,ROUNDING_DOWN
2490,61,99.96,25.56,25.56,74.44,3,0.02,ROUNDING_DOWN
424,28,99.76,48.98,48.98,51.02,2,0.0,ROUNDING_DOWN
564,31,13.3,35.38,37.87,58.03,2,0.07,ROUNDING_DOWN
1910,55,1.78,15.61,38.78,24.65,1,0.13,ROUNDING_DOWN
4197,77,5.58,29.34,30.94,65.48,2,1.52,ROUNDING_DOWN
1104,42,99.91,39.27,39.27,60.73,2,0.02,ROUNDING_DOWN
1550,49,99.94,51.3,51.3,48.7,3,0.01,ROUNDING_DOWN
645,33,99.84,24.46,24.46,75.54,3,0.0,ROUNDING_DOWN
609,33,4.27,36.99,84.52,6.78,3,0.04,ROUNDING_DOWN
1248,45,4.89,49.08,64.1,27.48,2,0.15,ROUNDING_DOWN
4479,81,99.98,6.93,6.93,93.07,1,0.03,ROUNDING_DOWN
1120,42,3.3,22.57,32.33,47.23,1,0.1,ROUNDING_DOWN
2906,67,99.97,5.21,5.21,94.79,2,0.02,ROUNDING_DOWN
101,16,16.83,33.8,75.0,11.27,2,0.01,ROUNDING_DOWN
3294,70,0.85,15.98,44.95,19.57,1,0.2,ROUNDING_DOWN
164,18,99.39,63.32,63.32,36.68,3,0.0,ROUNDING_DOWN
217,21,99.54,17.65,17.65,82.35,3,0.0,ROUNDING_DOWN
313,24,3.83,26.1,48.6,27.6,1,0.01,ROUNDING_DOWN
1307,45,4.59,25.82,32.36,53.97,1,0.15,ROUNDING_DOWN
1695,51,99.94,27.94,27.94,72.06,2,0.01,ROUNDING_DOWN
500,29,10.2,42.75,58.06,30.88,2,0.05,ROUNDING_DOWN
227,21,18.94,62.64,73.31,22.81,2,0.02,ROUNDING_DOWN
4703,82,3.21,46.19,57.33,34.38,2,1.15,ROUNDING_DOWN
578,31,99.83,59.95,59.95,40.05,2,0.0,ROUNDING_DOWN
5227,87,5.24,65.57,71.16,26.57,3,2.15,ROUNDING_DOWN
7087,100,99.99,20.33,20.33,79.67,3,0.05,ROUNDING_DOWN
2113,57,99.95,21.5,21.5,78.5,3,0.01,ROUNDING_DOWN
6975,99,4.33,15.75,16.28,80.99,2,3.29,ROUNDING_DOWN
3807,74,99.97,8.56,8.56,91.44,3,0.04,ROUNDING_DOWN
1186,44,0.17,11.85,75.0,3.95,2,0.03,ROUNDING_DOWN
262,22,11.45,41.67,56.92,31.54,2,0.02,ROUNDING_DOWN
1717,51,2.04,24.03,41.48,33.89,1,0.13,ROUNDING_DOWN
624,32,99.84,20.24,20.24,79.76,3,0.0,ROUNDING_DOWN
6259,94,3.28,57.36,76.32,17.8,3,2.05,ROUNDING_DOWN
2851,65,2.49,27.72,64.03,15.57,2,0.35,ROUNDING_DOWN
858,38,4.9,41.65,83.62,8.16,3,0.08,ROUNDING_DOWN
2971,67,99.97,10.29,10.29,89.71,3,0.02,ROUNDING_DOWN
3807,74,6.72,58.16,60.23,38.4,2,1.47,ROUNDING_DOWN
6944,99,99.99,47.7,47.7,52.3,3,0.05,ROUNDING_DOWN
3545,72,3.05,49.68,63.29,28.81,2,0.65,ROUNDING_DOWN
986,40,5.88,33.57,52.93,29.85,2,0.11,ROUNDING_DOWN
3935,76,2.67,41.82,83.88,8.04,3,0.69,ROUNDING_DOWN
5572,89,1.96,29.12,34.26,55.87,1,1.07,ROUNDING_DOWN
5246,87,2.06,43.97,67.68,21.0,2,0.97,ROUNDING_DOWN
1419,47,2.26,15.94,31.58,34.54,1,0.09,ROUNDING_DOWN
493,30,99.8,10.24,10.24,89.76,1,0.0,ROUNDING_DOWN
340,25,99.71,50.46,50.46,49.54,2,0.0,ROUNDING_DOWN
2435,61,1.81,24.26,72.83,9.05,2,0.23,ROUNDING_DOWN
3297,69,99.97,65.1,65.1,34.9,3,0.02,ROUNDING_DOWN
1744,53,99.94,9.86,9.86,90.14,2,0.01,ROUNDING_DOWN
1049,41,17.45,65.42,66.75,32.59,3,0.28,ROUNDING_DOWN
1803,53,7.82,56.01,65.69,29.26,3,0.4,ROUNDING_DOWN
6712,97,99.99,33.74,33.74,66.26,3,0.04,ROUNDING_DOWN
537,30,11.73,34.01,47.74,37.23,2,0.06,ROUNDING_DOWN
367,26,12.26,26.41,30.68,59.68,1,0.03,ROUNDING_DOWN
1103,42,8.88,70.45,79.85,17.78,3,0.19,ROUNDING_DOWN
3467,71,2.74,30.84,57.68,22.63,2,0.55,ROUNDING_DOWN
3632,73,0.83,19.25,45.13,23.41,1,0.22,ROUNDING_DOWN
657,33,13.24,69.47,80.09,17.26,3,0.12,ROUNDING_DOWN
2838,65,3.42,46.86,64.33,25.98,2,0.45,ROUNDING_DOWN
1178,43,99.92,31.33,31.33,68.67,3,0.01,ROUNDING_DOWN
1340,46,10.3,12.76,12.89,86.24,1,0.28,ROUNDING_DOWN
3276,69,4.0,49.48,60.58,32.19,2,0.69,ROUNDING_DOWN
979,39,2.35,22.08,37.32,37.08,1,0.05,ROUNDING_DOWN
76,14,14.47,31.31,75.0,10.44,2,0.0,ROUNDING_DOWN
2697,63,17.54,23.75,23.76,76.19,2,1.73,ROUNDING_DOWN
256,22,19.14,60.61,72.71,22.74,3,0.03,ROUNDING_DOWN
6669,97,1.68,23.88,31.59,51.73,1,1.19,ROUNDING_DOWN
4327,79,99.98,27.66,27.66,72.34,3,0.03,ROUNDING_DOWN
2515,62,99.96,20.0,20.0,80.0,3,0.02,ROUNDING_DOWN
412,28,5.34,13.59,36.62,23.52,1,0.02,ROUNDING_DOWN
1519,50,1.65,21.98,75.0,7.33,2,0.1,ROUNDING_DOWN
3428,71,3.7,52.98,77.74,15.17,3,0.73,ROUNDING_DOWN
6418,96,0.97,15.95,68.96,7.18,2,0.73,ROUNDING_DOWN
1316,46,0.68,8.48,50.0,8.48,1,0.04,ROUNDING_DOWN
1596,50,3.51,44.31,69.51,19.44,2,0.16,ROUNDING_DOWN
2928,66,5.77,27.58,28.44,69.4,1,0.77,ROUNDING_DOWN
6272,94,6.87,62.15,63.94,35.05,3,3.91,ROUNDING_DOWN
199,20,99.5,22.71,22.71,77.29,1,0.0,ROUNDING_DOWN
2856,65,3.19,42.19,63.46,24.29,2,0.45,ROUNDING_DOWN
5572,89,99.98,16.97,16.97,83.03,1,0.04,ROUNDING_DOWN
2872,66,0.63,7.1,50.0,7.1,1,0.13,ROUNDING_DOWN
3593,72,7.26,25.03,25.55,72.91,2,1.4,ROUNDING_DOWN
116,16,99.14,11.98,11.98,88.02,2,0.0,ROUNDING_DOWN
300,23,99.67,39.39,39.39,60.61,2,0.0,ROUNDING_DOWN
622,33,5.79,8.03,8.92,81.99,1,0.04,ROUNDING_DOWN
2920,66,11.82,43.71,44.15,55.3,2,1.43,ROUNDING_DOWN
6044,93,2.3,45.55,78.71,12.32,3,1.37,ROUNDING_DOWN
3258,69,1.63,17.25,25.8,49.59,1,0.31,ROUNDING_DOWN
3692,73,99.97,32.76,32.76,67.24,3,0.02,ROUNDING_DOWN
4567,81,2.23,30.04,36.45,52.37,1,0.75,ROUNDING_DOWN
229,22,10.92,49.31,85.14,8.6,3,0.02,ROUNDING_DOWN
486,30,4.94,19.18,29.33,46.22,1,0.04,ROUNDING_DOWN
40,11,2.5,6.25,50.0,6.25,1,0.0,ROUNDING_DOWN
3477,72,5.15,21.11,21.9,75.31,1,0.93,ROUNDING_DOWN
1630,50,99.94,61.74,61.74,38.26,3,0.01,ROUNDING_DOWN
2209,59,4.07,47.64,79.59,12.22,3,0.36,ROUNDING_DOWN
308,25,99.68,13.76,13.76,86.24,3,0.0,ROUNDING_DOWN
3863,76,99.97,8.21,8.21,91.79,1,0.02,ROUNDING_DOWN
3090,67,3.79,43.99,52.97,39.06,2,0.58,ROUNDING_DOWN
2135,57,3.42,42.23,62.46,25.39,2,0.27,ROUNDING_DOWN
128,18,11.72,46.74,85.56,7.89,3,0.01,ROUNDING_DOWN
65,13,1.54,24.66,50.0,24.66,1,0.0,ROUNDING_DOWN
4809,83,1.87,30.67,40.05,45.91,1,0.7,ROUNDING_DOWN
2330,59,2.75,21.95,27.71,57.28,1,0.26,ROUNDING_DOWN
961,41,2.19,14.95,87.5,2.14,3,0.06,ROUNDING_DOWN
34,11,97.06,22.36,22.36,77.64,3,0.0,ROUNDING_DOWN
156,18,18.59,21.45,22.87,72.34,2,0.01,ROUNDING_DOWN
253,22,99.6,10.69,10.69,89.31,3,0.0,ROUNDING_DOWN
3290,70,99.97,10.36,10.36,89.64,1,0.02,ROUNDING_DOWN
6982,99,1.0,20.17,38.7,31.95,1,0.84,ROUNDING_DOWN
1849,53,11.25,32.66,33.34,65.31,2,0.58,ROUNDING_DOWN
5401,87,99.98,38.7,38.7,61.3,3,0.04,ROUNDING_DOWN
1167,44,99.91,17.14,17.14,82.86,1,0.01,ROUNDING_DOWN
3367,70,99.97,29.26,29.26,70.74,3,0.02,ROUNDING_DOWN
366,26,99.73,15.79,15.79,84.21,3,0.0,ROUNDING_DOWN
32,10,96.88,69.24,69.24,30.76,3,0.0,ROUNDING_DOWN
6752,97,4.44,61.47,69.49,26.99,3,3.05,ROUNDING_DOWN
1455,47,99.93,35.44,35.44,64.56,3,0.01,ROUNDING_DOWN
6641,97,3.54,28.73,29.91,67.31,1,2.35,ROUNDING_DOWN
769,36,5.59,26.14,36.35,45.77,1,0.07,ROUNDING_DOWN
2829,65,99.96,7.7,7.7,92.3,3,0.02,ROUNDING_DOWN
1567,49,99.94,36.39,36.39,63.61,2,0.01,ROUNDING_DOWN
1868,53,99.95,29.12,29.12,70.88,3,0.01,ROUNDING_DOWN
6815,98,3.82,15.17,15.54,82.44,1,2.61,ROUNDING_DOWN
6571,97,1.03,19.33,71.37,7.75,2,0.8,ROUNDING_DOWN
123,17,11.38,18.41,39.17,28.59,1,0.01,ROUNDING_DOWN
171,18,27.49,54.04,61.74,33.48,2,0.01,ROUNDING_DOWN
1832,53,4.37,18.3,20.81,69.63,1,0.26,ROUNDING_DOWN
1624,50,1.97,17.14,39.59,26.15,1,0.11,ROUNDING_DOWN
7125,100,99.99,54.19,54.19,45.81,3,0.07,ROUNDING_DOWN
6849,98,7.81,65.4,65.9,33.84,3,5.26,ROUNDING_DOWN
5304,87,4.9,61.08,68.98,27.47,3,2.08,ROUNDING_DOWN
187,20,22.46,53.53,66.99,26.37,3,0.02,ROUNDING_DOWN
6008,93,99.98,7.91,7.91,92.09,2,0.04,ROUNDING_DOWN
5654,90,3.71,21.8,22.62,74.59,1,1.78,ROUNDING_DOWN
440,28,19.32,63.31,70.05,27.07,3,0.06,ROUNDING_DOWN
2079,57,99.95,16.7,16.7,83.3,3,0.02,ROUNDING_DOWN_2
6165,94,1.67,30.9,66.63,15.48,3,1.5,ROUNDING_DOWN_2
1649,50,4.06,43.89,54.33,36.89,3,0.29,ROUNDING_DOWN_2
4395,80,2.03,40.21,67.21,19.61,3,1.13,ROUNDING_DOWN_2
6512,96,99.98,35.62,35.62,64.38,3,0.05,ROUNDING_DOWN_2
214,23,99.53,1.33,1.33,98.67,1,0.0,ROUNDING_DOWN_2
4670,82,2.89,44.59,59.88,29.88,3,1.46,ROUNDING_DOWN_2
3656,73,0.77,10.63,47.03,11.98,2,0.29,ROUNDING_DOWN_2
1960,55,99.95,28.57,28.57,71.43,2,0.02,ROUNDING_DOWN_2
4314,79,99.98,29.85,29.85,70.15,3,0.03,ROUNDING_DOWN_2
411,27,0.0,0.0,0.0,85.46,1,0.01,ROUNDING_DOWN_2
4417,80,99.98,18.32,18.32,81.68,3,0.03,ROUNDING_DOWN_2
138,17,13.04,25.65,72.12,9.92,3,0.01,ROUNDING_DOWN_2
3716,74,1.16,14.35,42.62,19.32,2,0.46,ROUNDING_DOWN_2
4193,78,0.0,0.0,0.0,51.88,1,0.07,ROUNDING_DOWN_2
4981,85,0.0,0.0,0.0,85.91,1,0.08,ROUNDING_DOWN_2
113,15,7.08,25.81,50.0,25.81,2,0.01,ROUNDING_DOWN_2
4674,83,99.98,6.71,6.71,93.29,1,0.04,ROUNDING_DOWN_2
6540,96,99.98,25.81,25.81,74.19,2,0.05,ROUNDING_DOWN_2
381,26,0.0,0.0,0.0,85.42,1,0.01,ROUNDING_DOWN_2
5245,87,0.0,0.0,0.0,36.19,1,0.09,ROUNDING_DOWN_2
3574,72,1.59,18.94,29.32,45.66,2,0.56,ROUNDING_DOWN_2
1167,43,99.91,36.06,36.06,63.94,2,0.01,ROUNDING_DOWN_2
1465,50,99.93,5.65,5.65,94.35,2,0.01,ROUNDING_DOWN_2
604,32,10.76,48.03,55.65,38.27,3,0.1,ROUNDING_DOWN_2
1191,43,4.95,39.66,50.53,38.83,3,0.19,ROUNDING_DOWN_2
2413,60,0.0,0.0,0.0,68.15,1,0.06,ROUNDING_DOWN_2
33,11,0.0,0.0,0.0,19.04,1,0.0,ROUNDING_DOWN_2
178,19,8.43,36.15,52.66,32.5,3,0.01,ROUNDING_DOWN_2
160,18,99.38,28.61,28.61,71.39,2,0.0,ROUNDING_DOWN_2
653,33,7.96,48.06,66.01,24.74,3,0.11,ROUNDING_DOWN_2
2642,63,99.96,6.43,6.43,93.57,3,0.02,ROUNDING_DOWN_2
4003,76,4.02,47.7,57.57,35.16,3,1.48,ROUNDING_DOWN_2
214,21,0.0,0.0,0.0,63.48,1,0.0,ROUNDING_DOWN_2
2771,64,3.28,22.04,25.83,63.27,2,0.53,ROUNDING_DOWN_2
1130,43,99.91,33.3,33.3,66.7,2,0.01,ROUNDING_DOWN_2
212,20,99.53,53.72,53.72,46.28,2,0.0,ROUNDING_DOWN_2
300,23,99.67,40.13,40.13,59.87,2,0.0,ROUNDING_DOWN_2
4550,81,99.98,39.17,39.17,60.83,3,0.03,ROUNDING_DOWN_2
7096,100,99.99,23.78,23.78,76.22,3,0.05,ROUNDING_DOWN_2
200,20,10.5,36.01,73.67,12.87,3,0.01,ROUNDING_DOWN_2
5583,89,99.98,21.64,21.64,78.36,3,0.06,ROUNDING_DOWN_2
230,21,1.3,7.14,50.0,7.14,2,0.01,ROUNDING_DOWN_2
5750,90,99.98,38.93,38.93,61.07,3,0.05,ROUNDING_DOWN_2
5042,85,99.98,22.04,22.04,77.96,2,0.05,ROUNDING_DOWN_2
2427,60,3.46,38.89,54.21,32.85,3,0.53,ROUNDING_DOWN_2
6178,93,1.93,26.28,32.32,55.03,2,1.69,ROUNDING_DOWN_2
3863,76,99.97,2.91,2.91,97.09,1,0.03,ROUNDING_DOWN_2
2385,60,3.23,28.52,36.0,50.7,2,0.5,ROUNDING_DOWN_2
3629,72,1.6,27.62,39.14,42.95,2,0.57,ROUNDING_DOWN_2
312,24,0.0,0.0,0.0,62.33,1,0.01,ROUNDING_DOWN_2
2835,65,0.0,0.0,0.0,40.93,1,0.06,ROUNDING_DOWN_2
2773,64,0.0,0.0,0.0,37.81,1,0.04,ROUNDING_DOWN_2
5703,90,1.19,26.31,69.25,11.69,3,0.97,ROUNDING_DOWN_2
6047,93,0.0,0.0,0.0,89.46,1,0.11,ROUNDING_DOWN_2
1529,49,1.77,14.61,48.03,15.81,2,0.11,ROUNDING_DOWN_2
287,24,3.14,11.73,44.47,14.65,2,0.01,ROUNDING_DOWN_2
1890,54,0.0,0.0,0.0,12.63,1,0.03,ROUNDING_DOWN_2
2894,66,99.97,11.47,11.47,88.53,3,0.02,ROUNDING_DOWN_2
1795,52,6.46,39.17,45.93,46.1,3,0.46,ROUNDING_DOWN_2
5349,87,0.88,25.74,45.93,30.3,2,0.6,ROUNDING_DOWN_2
139,18,0.0,0.0,0.0,10.06,1,0.0,ROUNDING_DOWN_2
150,18,4.67,11.49,30.51,26.18,2,0.01,ROUNDING_DOWN_2
1760,52,99.94,16.82,16.82,83.18,3,0.01,ROUNDING_DOWN_2
849,38,99.88,12.92,12.92,87.08,3,0.01,ROUNDING_DOWN_2
1694,51,2.24,19.11,35.49,34.74,2,0.17,ROUNDING_DOWN_2
814,37,1.47,7.6,42.18,10.41,2,0.04,ROUNDING_DOWN_2
1243,44,5.07,30.72,34.42,58.52,2,0.22,ROUNDING_DOWN_2
3279,70,0.0,0.0,0.0,33.44,1,0.05,ROUNDING_DOWN_2
5455,89,0.86,29.33,72.58,11.08,3,0.68,ROUNDING_DOWN_2
613,32,99.84,40.6,40.6,59.4,3,0.01,ROUNDING_DOWN_2
2870,65,3.8,21.05,23.31,69.22,2,0.61,ROUNDING_DOWN_2
1952,55,99.95,10.83,10.83,89.17,3,0.03,ROUNDING_DOWN_2
1032,41,99.9,23.06,23.06,76.94,2,0.01,ROUNDING_DOWN_2
1156,44,1.56,27.42,75.0,9.14,3,0.07,ROUNDING_DOWN_2
3019,67,2.95,44.55,66.53,22.42,3,0.65,ROUNDING_DOWN_2
3518,72,0.0,0.0,0.0,8.66,1,0.07,ROUNDING_DOWN_2
1890,54,99.95,18.87,18.87,81.13,3,0.01,ROUNDING_DOWN_2
123,16,19.51,43.5,65.65,22.76,3,0.01,ROUNDING_DOWN_2
6722,97,99.99,32.83,32.83,67.17,3,0.07,ROUNDING_DOWN_2
1065,41,5.35,39.21,63.14,22.89,3,0.17,ROUNDING_DOWN_2
423,27,99.76,68.17,68.17,31.83,3,0.0,ROUNDING_DOWN_2
3088,68,1.49,26.77,72.27,10.27,3,0.44,ROUNDING_DOWN_2
6369,95,0.39,7.44,47.6,8.19,2,0.43,ROUNDING_DOWN_2
613,33,99.84,14.56,14.56,85.44,1,0.01,ROUNDING_DOWN_2
3835,74,0.0,0.0,0.0,65.63,1,0.08,ROUNDING_DOWN_2
2106,58,0.14,7.51,50.0,7.51,2,0.06,ROUNDING_DOWN_2
6112,93,99.98,27.18,27.18,72.82,2,0.06,ROUNDING_DOWN_2
6441,95,0.0,0.0,0.0,60.5,1,0.12,ROUNDING_DOWN_2
2823,65,1.06,9.04,37.6,14.99,2,0.25,ROUNDING_DOWN_2
126,16,99.21,45.45,45.45,54.55,3,0.0,ROUNDING_DOWN_2
5789,91,0.71,19.92,46.59,22.83,2,0.61,ROUNDING_DOWN_2
3917,76,0.0,0.0,0.0,86.82,1,0.09,ROUNDING_DOWN_2
486,29,99.79,17.55,17.55,82.45,2,0.01,ROUNDING_DOWN_2
4041,76,0.0,0.0,0.0,61.05,1,0.07,ROUNDING_DOWN_2
996,40,2.41,12.78,38.45,20.46,2,0.08,ROUNDING_DOWN_2
324,25,1.85,11.32,63.39,6.54,3,0.01,ROUNDING_DOWN_2
786,36,0.0,0.0,0.0,74.1,1,0.03,ROUNDING_DOWN_2
2789,64,4.02,51.11,65.78,26.59,3,0.72,ROUNDING_DOWN_2
564,31,99.82,28.61,28.61,71.39,3,0.0,ROUNDING_DOWN_2
2486,61,2.53,26.8,35.87,47.92,2,0.39,ROUNDING_DOWN_2
1600,49,99.94,34.28,34.28,65.72,3,0.03,ROUNDING_DOWN_2
1176,44,99.91,8.03,8.03,91.97,1,0.01,ROUNDING_DOWN_2
6696,98,99.99,4.44,4.44,95.56,1,0.05,ROUNDING_DOWN_2
546,30,99.82,48.58,48.58,51.42,3,0.0,ROUNDING_DOWN_2
3688,74,0.0,0.0,0.0,22.74,1,0.08,ROUNDING_DOWN_2
68,13,0.0,0.0,0.0,12.68,1,0.0,ROUNDING_DOWN_2
288,23,99.65,32.0,32.0,68.0,3,0.0,ROUNDING_DOWN_2
334,25,0.0,0.0,0.0,53.47,1,0.01,ROUNDING_DOWN_2
2085,56,3.5,24.38,28.72,60.52,2,0.34,ROUNDING_DOWN_2
188,20,99.47,22.85,22.85,77.15,1,0.0,ROUNDING_DOWN_2
5266,87,0.82,20.15,43.4,26.28,2,0.55,ROUNDING_DOWN_2
1539,49,2.92,16.61,28.91,40.85,2,0.21,ROUNDING_DOWN_2
547,31,99.82,11.43,11.43,88.57,1,0.01,ROUNDING_DOWN_2
1269,45,2.6,17.53,37.5,29.23,2,0.12,ROUNDING_DOWN_2
2981,66,4.29,51.65,64.22,28.78,3,0.89,ROUNDING_DOWN_2
6096,93,1.23,22.94,33.2,46.16,2,1.2,ROUNDING_DOWN_2
4943,84,0.67,12.79,45.87,15.09,2,0.49,ROUNDING_DOWN_2
4004,77,99.98,8.31,8.31,91.69,3,0.03,ROUNDING_DOWN_2
1525,49,0.0,0.0,0.0,18.3,1,0.02,ROUNDING_DOWN_2
6590,97,0.38,10.68,49.86,10.74,2,0.48,ROUNDING_DOWN_2
319,25,0.0,0.0,0.0,52.05,1,0.01,ROUNDING_DOWN_2
5587,89,0.0,0.0,0.0,30.83,1,0.1,ROUNDING_DOWN_2
3055,68,0.0,0.0,0.0,5.02,1,0.07,ROUNDING_DOWN_2
1027,41,0.0,0.0,0.0,31.16,1,0.02,ROUNDING_DOWN_2
1297,45,99.92,16.17,16.17,83.83,3,0.01,ROUNDING_DOWN_2
2681,63,0.0,0.0,0.0,42.96,1,0.04,ROUNDING_DOWN_2
5521,89,0.0,0.0,0.0,89.04,1,0.09,ROUNDING_DOWN_2
3248,69,0.0,0.0,0.0,32.95,1,0.07,ROUNDING_DOWN_2
5973,92,1.93,41.03,65.84,21.29,3,1.73,ROUNDING_DOWN_2
1001,41,99.9,9.27,9.27,90.73,2,0.01,ROUNDING_DOWN_2
1561,49,99.94,50.7,50.7,49.3,2,0.01,ROUNDING_DOWN_2
426,28,99.77,27.44,27.44,72.56,3,0.0,ROUNDING_DOWN_2
4300,79,99.98,44.0,44.0,56.0,3,0.03,ROUNDING_DOWN_2
1826,53,2.46,24.43,72.26,9.38,3,0.27,ROUNDING_DOWN_2
5747,91,0.0,0.0,0.0,12.82,1,0.08,ROUNDING_DOWN_2
183,19,99.45,13.32,13.32,86.68,1,0.0,ROUNDING_DOWN_2
1582,49,0.0,0.0,0.0,77.3,1,0.04,ROUNDING_DOWN_2
98,15,98.98,56.9,56.9,43.1,3,0.0,ROUNDING_DOWN_2
403,27,99.75,69.64,69.64,30.36,3,0.0,ROUNDING_DOWN_2
4891,84,99.98,31.51,31.51,68.49,2,0.03,ROUNDING_DOWN_2
1792,52,0.0,0.0,0.0,76.79,1,0.03,ROUNDING_DOWN_2
1768,53,99.94,7.76,7.76,92.24,2,0.01,ROUNDING_DOWN_2
66,12,0.0,0.0,0.0,29.96,1,0.0,ROUNDING_DOWN_2
6114,93,99.98,40.1,40.1,59.9,3,0.04,ROUNDING_DOWN_2
1483,48,99.93,14.89,14.89,85.11,2,0.01,ROUNDING_DOWN_2
1052,41,99.9,33.08,33.08,66.92,3,0.01,ROUNDING_DOWN_2
2554,62,0.67,7.0,39.65,10.66,2,0.16,ROUNDING_DOWN_2
1309,46,2.29,22.82,40.29,33.83,2,0.12,ROUNDING_DOWN_2
1117,43,0.0,0.0,0.0,10.17,1,0.02,ROUNDING_DOWN_2
1240,44,4.68,30.29,38.07,49.29,2,0.17,ROUNDING_DOWN_2
188,20,99.47,9.19,9.19,90.81,1,0.0,ROUNDING_DOWN_2
5331,88,99.98,4.74,4.74,95.26,2,0.06,ROUNDING_DOWN_2
1026,41,7.02,49.9,61.2,31.63,3,0.2,ROUNDING_DOWN_2
2432,60,99.96,35.29,35.29,64.71,2,0.02,ROUNDING_DOWN_2
7078,100,3.69,51.6,55.72,41.0,3,3.69,ROUNDING_DOWN_2
3758,74,99.97,34.94,34.94,65.06,3,0.03,ROUNDING_DOWN_2
2756,64,0.0,0.0,0.0,73.63,1,0.04,ROUNDING_DOWN_2
622,33,3.05,11.61,28.19,29.58,2,0.04,ROUNDING_DOWN_2
2061,57,0.05,3.11,50.0,3.11,2,0.04,ROUNDING_DOWN_2
911,38,2.74,19.68,37.25,33.15,2,0.06,ROUNDING_DOWN_2
833,38,99.88,8.75,8.75,91.25,1,0.01,ROUNDING_DOWN_2
2024,55,0.0,0.0,0.0,58.04,1,0.03,ROUNDING_DOWN_2
4768,82,1.01,17.53,38.94,27.48,2,0.62,ROUNDING_DOWN_2
89,14,0.0,0.0,0.0,51.15,1,0.0,ROUNDING_DOWN_2
1540,49,0.52,11.51,50.0,11.51,2,0.06,ROUNDING_DOWN_2
26,11,96.15,1.42,1.42,98.58,3,0.0,ROUNDING_DOWN_2
3101,67,2.93,46.31,68.86,20.94,3,0.73,ROUNDING_DOWN_2
511,30,99.8,50.36,50.36,49.64,3,0.0,ROUNDING_DOWN_2
402,27,2.99,22.47,50.0,22.47,2,0.02,ROUNDING_DOWN_2
966,40,0.0,0.0,0.0,17.78,1,0.01,ROUNDING_DOWN_2
3006,66,2.13,24.05,32.43,50.1,2,0.48,ROUNDING_DOWN_2
3300,71,99.97,5.82,5.82,94.18,1,0.02,ROUNDING_DOWN_2
2060,56,99.95,13.57,13.57,86.43,3,0.01,ROUNDING_DOWN_2
3434,71,0.67,6.53,46.85,7.41,2,0.26,ROUNDING_DOWN_2
6018,93,99.98,5.13,5.13,94.87,2,0.05,ROUNDING_DOWN_2
3012,67,99.97,13.72,13.72,86.28,3,0.02,ROUNDING_DOWN_2
2283,59,3.15,40.41,63.18,23.54,3,0.39,ROUNDING_DOWN_2
6921,99,2.56,46.67,59.96,31.17,3,2.52,ROUNDING_DOWN_2
1133,42,99.91,51.36,51.36,48.64,3,0.01,ROUNDING_DOWN_2
4637,81,0.0,0.0,0.0,50.68,1,0.08,ROUNDING_DOWN_2
4637,82,99.98,55.55,55.55,44.45,3,0.03,ROUNDING_DOWN_2
1335,46,99.93,40.3,40.3,59.7,3,0.01,ROUNDING_DOWN_2
4854,85,99.98,7.9,7.9,92.1,3,0.03,ROUNDING_DOWN_2
71,14,0.0,0.0,0.0,62.64,1,0.0,ROUNDING_DOWN_2
708,35,0.0,0.0,0.0,82.92,1,0.01,ROUNDING_DOWN_2
3257,69,99.97,43.99,43.99,56.01,3,0.02,ROUNDING_DOWN_2
180,20,99.44,49.25,49.25,50.75,3,0.0,ROUNDING_DOWN_2
3158,68,5.41,46.76,50.62,45.61,3,0.98,ROUNDING_DOWN_2
4707,83,0.0,0.0,0.0,11.1,1,0.07,ROUNDING_DOWN_2
2011,55,3.63,27.72,32.44,57.73,2,0.36,ROUNDING_DOWN_2
999,40,3.1,20.84,42.28,28.45,2,0.08,ROUNDING_DOWN_2
1527,49,0.0,0.0,0.0,24.2,1,0.02,ROUNDING_DOWN_2
6486,96,99.98,5.15,5.15,94.85,3,0.06,ROUNDING_DOWN_2
2476,61,1.37,12.48,33.46,24.81,2,0.22,ROUNDING_DOWN_2
1807,53,1.88,21.65,41.61,30.38,2,0.16,ROUNDING_DOWN_2
6448,95,0.81,20.24,40.77,29.4,2,0.81,ROUNDING_DOWN_2
3826,75,1.28,18.81,42.89,25.04,2,0.48,ROUNDING_DOWN_2
2248,58,0.0,0.0,0.0,68.53,1,0.03,ROUNDING_DOWN_2
2654,63,1.88,21.81,33.95,42.43,2,0.38,ROUNDING_DOWN_2
2707,64,99.96,13.61,13.61,86.39,2,0.02,ROUNDING_DOWN_2
